"gene" "pos"
"166" NA 7363
"167" "C8orf88" 6244
"168" "DPPA2P3" 2850
"169" "WWTR1-AS1" 2649
"170" "PLCE1-AS1" 7356
"171" "FAM229A" 127
"172" "LOC100128076" 6769
"173" "JAZF1-AS1" 5334
"174" "ST8SIA6-AS1" 7049
"175" "HGC6.3" 5200
"176" "STAU2-AS1" 6166
"177" "LOC100128164" 2741
"178" "UST-AS1" 5115
"179" "TMPO-AS1" 8523
"180" "LINC02731" 8096
"181" "ZNF667-AS1" 10998
"182" "HTR5A-AS1" 5837
"183" "DNM1P35" 9716
"184" "LOC100128288" 10173
"185" "DLG5-AS1" 7286
"186" "TRAPPC3L" 4967
"187" "FAM83H-AS1" 6486
"188" "LOC100128361" 6771
"189" "LINC00696" 2226
"190" "FAM225B" 6860
"191" "LOC100128398" 11004
"192" "LINC00892" 12092
"193" "C20orf78" 11092
"194" "ASTN2-AS1" 6876
"195" "NEBL-AS1" 7065
"196" "KIAA1671-AS1" 11448
"197" "LINC02347" 8648
"198" "LOC100128568" 10809
"199" "C19orf71" 10799
"200" "SLC8A1-AS1" 1136
"201" "LOC100128593" 6966
"202" "CDC42P3" 6483
"203" "ACVR2B-AS1" 2166
"204" "HPN-AS1" 10914
"205" "LINC01531" 10916
"206" "LINC02346" 9507
"207" "OST4" 1078
"208" "RBPMS-AS1" 5983
"209" "LOC100128770" 9841
"210" "LINC00476" 6784
"211" "LINC01349" 433
"212" "SRRM2-AS1" 9840
"213" "GPR158-AS1" 7082
"214" "LINC01003" 5827
"215" "VPS9D1-AS1" 10137
"216" "LOC100128885" 5464
"217" "GATA6-AS1" 10518
"218" "ZBTB42" 9490
"219" "LINC01310" 11553
"220" "LOC100128993" 5932
"221" "LOC100129027" 11418
"222" "LOC100129034" 6912
"223" "BCAR3-AS1" 401
"224" "LOC100129055" 7139
"225" "UNQ6494" 6759
"226" "KTN1-AS1" 9266
"227" "LOC100129083" 10979
"228" "KHDC1L" 4776
"229" "LOC100129138" 446
"230" "LOC100129148" 5777
"231" "LOC100129175" 1887
"232" "ZSCAN16-AS1" 4610
"233" "MATN1-AS1" 120
"234" "CXorf51A" 12133
"235" "SMIM27" 6638
"236" "LINC01160" 478
"237" "C1orf68" 530
"238" "LOC100129316" 6764
"239" "LINC02291" 9457
"240" "NRADDP" 2205
"241" "SMIM10L1" 8146
"242" "C9orf92" 6564
"243" "GABPB1-AS1" 9602
"244" "MSTO2P" 543
"245" "RPL19P12" 5614
"246" "DDC-AS1" 5433
"247" "LINC01546" 11569
"248" "MKRN2OS" 2048
"249" "ZNF37BP" 7140
"250" "ETDB" 12088
"251" "SOD2-OT1" 5164
"252" "TEX13C" 12044
"253" "LOC100129534" 6
"254" "ZNF730" 10875
"255" "LINC02035" 2531
"256" "FAM47E" 3192
"257" "LINC00462" 8808
"258" "LOC100129617" 10101
"259" "LOC100129620" 426
"260" "TCF24" 6137
"261" "FGF13-AS1" 12102
"262" "IZUMO3" 6601
"263" "ARRDC3-AS1" 4083
"264" "STPG3-AS1" 6968
"265" "LINC01126" 1151
"266" "CCDC152" 3893
"267" "SLC25A21-AS1" 9184
"268" "MRVI1-AS1" 7574
"269" "PCOLCE-AS1" 5606
"270" "SCOC-AS1" 3478
"271" "LOC100129917" 2870
"272" "TMEM269" 173
"273" "LOC100129931" 2896
"274" "LOC100129935" 10933
"275" "CCNT2-AS1" 1502
"276" "CERNA1" 9610
"277" "HDAC6" 11770
"278" "URAHP" 10139
"279" "FTLP10" 3157
"280" "LOC100130075" 8388
"281" "MIR124-2HG" 6126
"282" "EFCAB14-AS1" 190
"283" "LINC00861" 6404
"284" "LOC100130264" 11094
"285" "CCDC166" 6486
"286" "TFAP2A-AS1" 4532
"287" "LOC100130298" 6110
"288" "C8orf89" 6166
"289" "SUPT20HL1" 11662
"290" "C17orf107" 10158
"291" "LOC100130331" 909
"292" "SCGB2B3P" 10913
"293" "TMEM262" 7792
"294" "LOC100130357" 4545
"295" "LOC100130370" 10443
"296" "LINC00552" 9103
"297" "CECR7" 11422
"298" "LOC100130449" 1985
"299" "SPAG16-DT" 1861
"300" "LOC100130452" 1786
"301" "WAKMAR2" 5064
"302" "LINC01387" 10480
"303" "TMEM221" 10854
"304" "PARD6G-AS1" 10786
"305" "C10orf142" 7147
"306" "NFYC-AS1" 164
"307" "LINC00910" 10284
"308" "PRR32" 12051
"309" "LOC100130673" 5354
"310" "LOC100130691" 1697
"311" "TP53TG3HP" 9945
"312" "ATP6V1FNB" 5731
"313" "HDHD5-AS1" 11423
"314" "LRRC70" 3963
"315" "LRRC69" 6245
"316" "LOC100130744" 3772
"317" "EFCAB10" 5624
"318" "AGAP2-AS1" 8338
"319" "SBK3" 10994
"320" "USP3-AS1" 9662
"321" "LOC100130872" 2871
"322" "CREB3L2-AS1" 5771
"323" "TSTD3" 4891
"324" "SMIM6" 10419
"325" "ZNF663P" 11191
"326" "CSAG4" 12158
"327" "LOC100130950" 10159
"328" "LINC01502" 6961
"329" "SYCE1L" 10080
"330" "LOC100130964" 6025
"331" "C6orf99" 5160
"332" "LOC100130987" 7802
"333" "SPATA48" 5431
"334" "LOC100130992" 7069
"335" "DNAH8-AS1" 4637
"336" "LINC01135" 244
"337" "CKMT2-AS1" 4037
"338" "SRP14-AS1" 9558
"339" "DPP9-AS1" 10804
"340" "TNRC6C-AS1" 10430
"341" "ZBTB20-AS1" 2492
"342" "BSPH1" 10964
"343" "LINC01405" 8579
"344" "WDR86-AS1" 5823
"345" "TSTD1" 567
"346" "CCDC183-AS1" 6966
"347" "SNAP25-AS1" 11052
"348" "NEMP2" 1758
"349" "ZNF503-AS2" 7275
"350" "MIR181A1HG" 737
"351" "ANKRD63" 9560
"352" "LOC100131257" 5238
"353" "LOC100131289" 4609
"354" "RDM1P5" 10266
"355" "LINC00605" 9483
"356" "C11orf91" 7680
"357" "SP9" 1684
"358" "LINC00893" 12145
"359" "CD300LD" 10414
"360" "DBIL5P" 10141
"361" "LOC100131496" 11195
"362" "LINC00887" 2852
"363" "FKSG29" 9038
"364" "CCDC18-AS1" 400
"365" "LOC100131626" 8024
"366" "LOC100131635" 2821
"367" "ZNF236-DT" 10771
"368" "FAM83A-AS1" 6392
"369" "USP30-AS1" 8571
"370" "ARMCX4" 11945
"371" "PET100" 10815
"372" "LINC00271" 5053
"373" "UBE2DNL" 11889
"374" "CADM3-AS1" 558
"375" "INSYN2B" 4439
"376" "KRTAP25-1" 11347
"377" "LOC100132078" 7991
"378" "C2CD4D-AS1" 527
"379" "FAM240A" 2203
"380" "PHKA2-AS1" 11638
"381" "LOC100132215" 1241
"382" "NDUFA6-DT" 11522
"383" "CLUHP3" 9943
"384" "LINC01512" 4659
"385" "LOC100132356" 3894
"386" "KRTAP4-9" 10275
"387" "NBPF10" 516
"388" "CLDN24" 3674
"389" "FAM99B" 7538
"390" "KRTAP4-7" 10275
"391" "FGD5P1" 2055
"392" "PGAM1P5" 8510
"393" "ZRANB2-AS1" 300
"394" "BSN-DT" 2215
"395" "PAXIP1-AS2" 5836
"396" "DCAF13P3" 9605
"397" "FILNC1" 5073
"398" "KDM4A-AS1" 177
"399" "LOC100132831" 11737
"400" "MSC-AS1" 6159
"401" "DPH3P1" 11265
"402" "SHISAL2B" 3972
"403" "SMIM9" 12163
"404" "LINC00856" 7288
"405" "LOC100133050" 4124
"406" "CXorf51B" 12133
"407" "LINC01203" 11613
"408" "SBF1P1" 6085
"409" "LOC100133286" 11373
"410" "RSU1P2" 7151
"411" "HOXA-AS3" 5330
"412" "LINC02171" 2882
"413" "MRPL23-AS1" 7539
"414" "LY6E-DT" 6483
"415" "UXT-AS1" 11766
"416" "LINC01816" 1274
"417" "MAP3K14-AS1" 10292
"418" "UBOX5-AS1" 11020
"419" "KDM7A-DT" 5780
"420" "LINC01119" 1168
"421" "LOC100134317" 10920
"422" "LOC100134368" 9830
"423" "NDUFB2-AS1" 5783
"424" "JMJD7" 9566
"425" "PLA2G4B" 9566
"426" "HDAC5" 10287
"427" "C17orf99" 10430
"428" "LOC100144595" 1593
"429" "LINC00029" 11266
"430" "LINC01056" 11266
"431" "EPHA5-AS1" 3146
"432" "LINC00930" 9786
"433" "KLLN" 7327
"434" "PDCD6IP" 2145
"435" "KRTAP20-4" 11348
"436" "RNU4ATAC" 1451
"437" "RNU6ATAC" 6954
"438" "SCARNA9L" 11644
"439" "PDCD6" 3705
"440" "TEX36-AS1" 7498
"441" "PATE3" 8057
"442" "PEG3-AS1" 10999
"443" "DBIL5P2" 1242
"444" "BCL2L10" 9610
"445" "SNAR-B2" 10973
"446" "SNAR-C2" 10964
"447" "SNAR-C4" 10964
"448" "SNAR-E" 10960
"449" "SNAR-H" 1309
"450" "SNAR-I" 2836
"451" "SNAR-C3" 10964
"452" "SNAR-D" 10973
"453" "SNAR-G2" 10969
"454" "SRRM5" 10947
"455" "ERICH4" 10940
"456" "EPOP" 10265
"457" "BCL2L11" 1411
"458" "MIR1224" 2806
"459" "MIR1225" 9838
"460" "TOMM6" 4650
"461" "HECTD2-AS1" 7343
"462" "LINC00426" 8724
"463" "LINC00092" 6785
"464" "DNMBP-AS1" 7381
"465" "DCTN1-AS1" 1292
"466" "SH2B3" 8581
"467" "RAMP2-AS1" 10282
"468" "TPT1-AS1" 8793
"469" "LINC02418" 8664
"470" "C5orf52" 4383
"471" "C2CD4D" 527
"472" "PPIAP30" 7039
"473" "ZFHX4-AS1" 6181
"474" "PP12613" 3396
"475" "FLJ16779" 11267
"476" "LINC01634" 11426
"477" "LOC100192426" 10488
"478" "CDH4" 11258
"479" "GNE" 6653
"480" "HCN4" 9706
"481" "MANCR" 6991
"482" "KMT2E-AS1" 5622
"483" "LINC01004" 5621
"484" "INSL5" 281
"485" "FRAT1" 7369
"486" "PCED1B-AS1" 8293
"487" "TROAP" 8302
"488" "LOC100240734" 8323
"489" "LOC100240735" 8323
"490" "MED16" 10788
"491" "PIGK" 328
"492" "LOC100268168" 4453
"493" "LINC01432" 11107
"494" "LINC00653" 11092
"495" "LINC00940" 8108
"496" "ARHGEF33" 1131
"497" "LINC00899" 11540
"498" "ERVV-2" 10985
"499" "MEF2B" 10861
"500" "AIRN" 5165
"501" "CMC4" 12164
"502" "LOC100272217" 6939
"503" "LINC00894" 12146
"504" "BCDIN3D-AS1" 8304
"505" "LOC100286922" 1954
"506" "VPS13A-AS1" 6704
"507" "LOC100287010" 1389
"508" "LOC100287015" 5883
"509" "LOC100287036" 10135
"510" "LOC100287042" 10417
"511" "EML2-AS1" 10955
"512" "SH3RF3-AS1" 1409
"513" "LINC01630" 10653
"514" "ZNF729" 10872
"515" "TIPARP-AS1" 2680
"516" "MANSC4" 8221
"517" "LINC00941" 8235
"518" "PRSS46P" 2203
"519" "SMKR1" 5733
"520" "ADPGK-AS1" 9704
"521" "LINC00173" 8605
"522" "LOXL1-AS1" 9709
"523" "SELENOKP3" 4977
"524" "MTHFD2P1" 2407
"525" "ANKRD66" 4672
"526" "AP4B1-AS1" 488
"527" "LINC00630" 11949
"528" "LOC100287792" 11151
"529" "LINC00582" 881
"530" "LOC100287846" 6048
"531" "LINC00994" 2281
"532" "TTC34" 7
"533" "LGALS8-AS1" 903
"534" "LOC100287944" 8559
"535" "LINC01699" 656
"536" "WTAPP1" 7952
"537" "GS1-279B7.1" 675
"538" "LDLRAD4-AS1" 10510
"539" "LOC100288123" 10792
"540" "NBPF20" 516
"541" "LNCOC1" 6482
"542" "HMGN3-AS1" 4802
"543" "KRTAP22-2" 11348
"544" "KRTAP21-3" 11349
"545" "NCAM1-AS1" 8000
"546" "ERVMER34-1" 3088
"547" "LMCD1-AS1" 2029
"548" "IL10RB-DT" 11360
"549" "MTRNR2L7" 7137
"550" "DDX11L9" 9829
"551" "WI2-2373I1.2" 5212
"552" "PAN3-AS1" 8714
"553" "LOC100288748" 6261
"554" "TMEM239" 11019
"555" "CLDN34" 11598
"556" "SRGAP3-AS3" 2034
"557" "B3GNT10" 6896
"558" "LOC100288846" 9193
"559" "CRIM1-DT" 1120
"560" "MOXD2P" 5789
"561" "SLC25A25-AS1" 6929
"562" "FAM95C" 6664
"563" "GNG12-AS1" 286
"564" "TMEM225B" 5602
"565" "LINC00624" 517
"566" "LOC100289230" 4118
"567" "TMEM238L" 10183
"568" "MAN1B1-DT" 6968
"569" "LOC100289361" 2618
"570" "UBAC2-AS1" 9038
"571" "KCTD21-AS1" 7846
"572" "MCF2L-AS1" 9100
"573" "LOC100289473" 11014
"574" "LOC100289495" 5194
"575" "KCNIP2-AS1" 7389
"576" "LOC100289511" 9330
"577" "LINC01848" 4167
"578" "ZNF783" 5816
"579" "LINC00942" 8106
"580" "ZNF587B" 11004
"581" "RNF213-AS1" 10438
"582" "NHEG1" 5060
"583" "CDH5" 10038
"584" "MIR1284" 2315
"585" "MIR1200" 5371
"586" "MIR1468" 11805
"587" "MIR1265" 7036
"588" "MIR320B1" 501
"589" "MIR1538" 10052
"590" "MIR1276" 9756
"591" "MIR1275" 4615
"592" "MIR1288" 10206
"593" "MIR1471" 1946
"594" "MIR1470" 10845
"595" "MIR1915" 7066
"596" "MIR302F" 10556
"597" "MIR1182" 878
"598" "MIR1287" 7374
"599" "MIR1289-2" 4274
"600" "MIR320C1" 10516
"601" "MIR1252" 8436
"602" "MIR1914" 11270
"603" "MIR1292" 11018
"604" "MIR1537" 900
"605" "MIR1913" 5195
"606" "MIR1246" 1694
"607" "MIR1912" 12000
"608" "MIR1247" 9476
"609" "MIR1249" 11536
"610" "MIR1296" 7221
"611" "MIR548N" 1702
"612" "MIR1298" 12001
"613" "MIR1256" 7262
"614" "MIR1229" 4480
"615" "MIR1185-1" 9474
"616" "MIR1231" 750
"617" "MIR1205" 6413
"618" "MIR1278" 711
"619" "MIR2113" 4884
"620" "MIR1322" 5897
"621" "MIR1257" 11261
"622" "MIR320D2" 12111
"623" "MIR1206" 6413
"624" "MIR1258" 1709
"625" "MIR1307" 7396
"626" "MIR1207" 6414
"627" "MIR1295A" 611
"628" "MIR1279" 8390
"629" "MIR1272" 9667
"630" "MIR1204" 6413
"631" "MIR1297" 8831
"632" "MIR1243" 3358
"633" "MIR1976" 103
"634" "MIR548I4" 5808
"635" "MIR548F1" 678
"636" "MIR320C2" 10528
"637" "MIR1234" 6488
"638" "MIR1306" 11431
"639" "MIR1228" 8336
"640" "MIR1266" 9611
"641" "MIR1283-2" 10988
"642" "MIR1253" 10149
"643" "MIR1185-2" 9474
"644" "MIR1909" 10792
"645" "MIR1203" 10300
"646" "MIR1181" 10825
"647" "MIR1277" 12016
"648" "MIR1827" 8531
"649" "MIR1245A" 1751
"650" "MIR1293" 8306
"651" "MIR1911" 12001
"652" "MIR2110" 7446
"653" "MIR2053" 6343
"654" "MIR1238" 10826
"655" "MIR1250" 10442
"656" "MIR1226" 2208
"657" "MIR1179" 9769
"658" "MIR1260A" 9363
"659" "MIR1281" 11518
"660" "MIR103B1" 4433
"661" "MIR548F5" 8748
"662" "MIR1304" 7912
"663" "MIR1301" 1070
"664" "MIR1197" 9473
"665" "MIR1264" 12000
"666" "MIR1323" 10988
"667" "MIR1180" 10214
"668" "MIR1539" 10645
"669" "MIR1469" 9804
"670" "MIR2052" 6172
"671" "MIR1910" 10120
"672" "MIR1908" 7778
"673" "MIR1283-1" 10988
"674" "MIR2054" 3413
"675" "MIR1305" 3669
"676" "MIR1178" 8619
"677" "MIR1262" 287
"678" "MIR1237" 7789
"679" "MIR1208" 6414
"680" "MIR103B2" 11024
"681" "MIR1227" 10794
"682" "MIR1251" 8519
"683" "MIR1973" 3373
"684" "RASAL2-AS1" 642
"685" "LINC00882" 2458
"686" "BABAM2-AS1" 1082
"687" "LINC00184" 895
"688" "FTX" 11844
"689" "TMED7-TICAM2" 4193
"690" "PCNA-AS1" 11029
"691" "FAS-AS1" 7333
"692" "SNORA80B" 1002
"693" "NCRUPAR" 4017
"694" "TSNAX-DISC1" 880
"695" "ZEB2-AS1" 1547
"696" "SLC25A5-AS1" 12020
"697" "LOC100303749" 3978
"698" "PET117" 11089
"699" "PITPNA-AS1" 10144
"700" "NDUFAF4P1" 9597
"701" "OTX2-AS1" 9272
"702" "MIR320B2" 848
"703" "MIR548K" 7813
"704" "MIR548F2" 1857
"705" "MIR548M" 5512
"706" "MIR548H2" 2658
"707" "MIR670" 7725
"708" "MIR759" 8824
"709" "MIR2117" 10285
"710" "MIR2278" 6779
"711" "MIR663B" 1491
"712" "MIR762" 9939
"713" "MIR764" 12000
"714" "MIR2114" 12147
"715" "MIR548Q" 6832
"716" "MIR2276" 8697
"717" "MIR711" 2211
"718" "MIR548H4" 9686
"719" "MIR2116" 9642
"720" "MIR2277" 4094
"721" "MIR761" 213
"722" "MIR548F4" 5808
"723" "MIR320D1" 8772
"724" "MIR548J" 11454
"725" "MIR449C" 3930
"726" "MIR548G" 2424
"727" "HOTTIP" 5330
"728" "SAP25" 5605
"729" "GCSHP3" 1828
"730" "TRPC5OS" 11988
"731" "LOC100335030" 8302
"732" "SNORA70F" 1640
"733" "CSN1S2BP" 3165
"734" "LINC00102" 11566
"735" "CHAF1A" 10803
"736" "SNORA70G" 8387
"737" "SNORA70D" 10057
"738" "MACROD2-AS1" 11074
"739" "TMED11P" 2871
"740" "LOC100379224" 10949
"741" "BOK-AS1" 1990
"742" "SNORA70E" 7868
"743" "NPPA-AS1" 47
"744" "MIR181A2HG" 6914
"745" "BACE1-AS" 8019
"746" "GRIK1-AS2" 11344
"747" "PARP2" 9109
"748" "ZBED6" 759
"749" "PARP3" 2225
"750" "CDH6" 3843
"751" "TOM1L1" 10331
"752" "ZNF33BP1" 7138
"753" "HMGXB4" 11493
"754" "LINC02532" 4923
"755" "MIR4300" 7863
"756" "MIR3128" 1697
"757" "MIR3160-2" 7738
"758" "MIR4274" 2898
"759" "MIR3160-1" 7738
"760" "MIR4287" 5972
"761" "MIR4319" 10624
"762" "MIR3191" 10962
"763" "MIR3188" 10857
"764" "MIR3183" 10142
"765" "MIR1193" 9474
"766" "MIR3119-1" 606
"767" "MIR4317" 10479
"768" "MIR3074" 6781
"769" "MIR514B" 12135
"770" "MIR4316" 10426
"771" "MIR3182" 10109
"772" "MIR3187" 10788
"773" "MIR4301" 8001
"774" "MIR3123" 924
"775" "MIR4318" 10590
"776" "MIR4285" 5612
"777" "MIR3136" 2303
"778" "MIR4292" 6966
"779" "MIR4306" 9040
"780" "MIR4265" 1409
"781" "MIR4320" 10648
"782" "MIR3115" 89
"783" "MIR378C" 7522
"784" "MIR4270" 2062
"785" "MIR3152" 6574
"786" "MIR3117" 280
"787" "MIR4297" 7516
"788" "MIR4279" 3846
"789" "MIR3192" 11091
"790" "MIR3148" 5981
"791" "MIR3162" 7769
"792" "MIR3170" 9033
"793" "MIR3120" 615
"794" "MIR4325" 11239
"795" "MIR4280" 4064
"796" "MIR4264" 1316
"797" "MIR3194" 11213
"798" "MIR4327" 11347
"799" "MIR3157" 7364
"800" "MIR3154" 6930
"801" "MIR4260" 783
"802" "MIR4294" 7158
"803" "MIR3140" 3533
"804" "MIR4302" 8212
"805" "MIR4255" 148
"806" "MIR3190" 10962
"807" "MIR3158-1" 7388
"808" "MIR4288" 5975
"809" "MIR3193" 11124
"810" "MIR4311" 9673
"811" "MIR3129" 1752
"812" "MIR4295" 7439
"813" "MIR500B" 11772
"814" "MIR3200" 11473
"815" "MIR320E" 10960
"816" "MIR4253" 88
"817" "MIR3065" 10442
"818" "MIR3201" 11550
"819" "MIR3167" 8063
"820" "MIR548X" 9869
"821" "MIR4303" 8521
"822" "MIR4322" 10824
"823" "MIR4291" 6777
"824" "MIR3127" 1358
"825" "MIR4261" 1001
"826" "MIR4330" 12151
"827" "MIR4304" 8632
"828" "MIR4328" 11863
"829" "MIR3143" 4606
"830" "MIR3153" 6758
"831" "MIR4275" 2992
"832" "MIR3142" 4396
"833" "MIR3147" 5459
"834" "MIR4305" 8768
"835" "MIR4272" 2295
"836" "MIR3189" 10857
"837" "MIR3186" 10443
"838" "MIR4326" 11268
"839" "MIR3122" 794
"840" "MIR4284" 5493
"841" "MIR3141" 4369
"842" "MIR4271" 2214
"843" "MIR3165" 7819
"844" "MIR4309" 9480
"845" "MIR3131" 1887
"846" "MIR4268" 1891
"847" "MIR4281" 4468
"848" "MIR4290" 6760
"849" "MIR3150A" 6263
"850" "MIR4263" 1082
"851" "MIR4277" 3711
"852" "MIR3146" 5296
"853" "MIR4251" 9
"854" "MIR2909" 10260
"855" "MIR4312" 9686
"856" "MIR3169" 8863
"857" "MIR3178" 9839
"858" "MIR4252" 23
"859" "MIR4256" 482
"860" "MIR3185" 10303
"861" "MIR4324" 10970
"862" "MIR4323" 10944
"863" "MIR3173" 9446
"864" "MIR4314" 10172
"865" "MIR4308" 9263
"866" "MIR3125" 1012
"867" "MIR3156-1" 7151
"868" "MIR3155A" 6998
"869" "MIR3134" 6856
"870" "MIR1260B" 7924
"871" "MIR3151" 6299
"872" "MIR3130-1" 1831
"873" "MIR3175" 9788
"874" "MIR4262" 1008
"875" "MIR4257" 521
"876" "MIR3199-2" 11461
"877" "MIR4278" 3736
"878" "MIR3145" 5067
"879" "MIR3130-2" 1831
"880" "MIR3184" 10235
"881" "MIR4282" 4775
"882" "MIR4329" 11992
"883" "MIR3119-2" 606
"884" "MIR3138" 2906
"885" "MIR3177" 9836
"886" "MIR4310" 9566
"887" "MIR3196" 11267
"888" "MIR4289" 6755
"889" "MIR4307" 9138
"890" "MIR4258" 540
"891" "MIR4298" 7539
"892" "MIR3197" 11397
"893" "MIR3198-1" 11425
"894" "MIR4299" 7579
"895" "MIR4266" 1409
"896" "MIR4254" 124
"897" "MIR3126" 1269
"898" "MIR4321" 10794
"899" "MIR3121" 652
"900" "MIR3158-2" 7388
"901" "MIR3199-1" 11461
"902" "MIR4313" 9716
"903" "MIR2355" 1833
"904" "MIR3176" 9831
"905" "MIR3132" 1889
"906" "MIR4296" 7495
"907" "MIR4276" 3633
"908" "MIR4269" 1980
"909" "IGLL5" 11439
"910" "TOM1" 11493
"911" "KLRF2" 8140
"912" "SH2D3C" 6928
"913" "SH2D3A" 10813
"914" "MAMLD1" 12147
"915" "MICOS10P1" 8734
"916" "MTRNR2L1" 10221
"917" "MTRNR2L2" 4035
"918" "MTRNR2L3" 11240
"919" "MTRNR2L4" 9843
"920" "MTRNR2L5" 7185
"921" "MTRNR2L6" 5791
"922" "MTRNR2L8" 7574
"923" "MTRNR2L10" 11789
"924" "CST8" 11114
"925" "RANBP9" 4547
"926" "DNAJB6" 5847
"927" "LINC00881" 2682
"928" "THAP9-AS1" 3222
"929" "BAALC-AS1" 6299
"930" "LOC100499194" 1417
"931" "USP2-AS1" 8028
"932" "LINC00674" 10385
"933" "LINC00673" 10404
"934" "CCDC180" 6789
"935" "SUGT1P4-STRA6LP" 6789
"936" "LOC100499489" 7070
"937" "CDH7" 10719
