"chrom","chrompos","abspos"
1,38577516,38577516
1,38788450,38788450
1,39004241,39004241
1,39219656,39219656
1,39461291,39461291
1,39703958,39703958
1,39927001,39927001
1,40167935,40167935
1,40412485,40412485
1,40648792,40648792
1,40881513,40881513
1,41117599,41117599
1,41333962,41333962
1,41561969,41561969
1,41786658,41786658
1,41991605,41991605
1,42201134,42201134
1,42409256,42409256
1,42634478,42634478
1,42856259,42856259
1,43079514,43079514
1,43306676,43306676
1,43532158,43532158
1,43765670,43765670
1,43986400,43986400
1,44205689,44205689
1,44422091,44422091
1,44643213,44643213
1,44854925,44854925
1,45073419,45073419
1,45305208,45305208
1,45544478,45544478
1,45796203,45796203
1,46041216,46041216
1,46285117,46285117
1,46512667,46512667
1,46744716,46744716
1,46979697,46979697
1,47195722,47195722
1,47493488,47493488
1,47769537,47769537
1,47994214,47994214
1,48203465,48203465
1,48406577,48406577
1,48629588,48629588
1,48866775,48866775
1,49089069,49089069
1,49293915,49293915
1,49506046,49506046
1,49734024,49734024
1,49955028,49955028
1,50191568,50191568
1,50435426,50435426
1,50646722,50646722
1,50862996,50862996
1,51078269,51078269
1,51309537,51309537
1,51545753,51545753
1,51777321,51777321
1,52007360,52007360
1,52230391,52230391
1,52451158,52451158
1,52698078,52698078
1,52927712,52927712
1,53154126,53154126
1,53398115,53398115
1,53621177,53621177
1,53833743,53833743
1,54047233,54047233
1,54256642,54256642
1,54485769,54485769
1,54706191,54706191
1,54928790,54928790
1,55163763,55163763
1,55388884,55388884
1,55608329,55608329
1,55823789,55823789
1,56046206,56046206
1,56261864,56261864
1,56470503,56470503
1,56684441,56684441
1,56903007,56903007
1,57121452,57121452
1,57332261,57332261
1,57538671,57538671
1,57746480,57746480
1,57955877,57955877
1,58174813,58174813
1,58383365,58383365
1,58598982,58598982
1,58820264,58820264
1,59040138,59040138
1,59258806,59258806
1,59471268,59471268
1,59680935,59680935
1,59901009,59901009
1,60139756,60139756
1,60351344,60351344
1,60561124,60561124
1,60776932,60776932
1,61003974,61003974
1,61222122,61222122
1,61440505,61440505
1,61652423,61652423
1,61862002,61862002
1,62076807,62076807
1,62306842,62306842
1,62536179,62536179
1,62772769,62772769
1,62996481,62996481
1,63232520,63232520
1,63447308,63447308
1,63657134,63657134
1,63885372,63885372
1,64108161,64108161
1,64320374,64320374
1,64527284,64527284
1,64750380,64750380
1,64972461,64972461
1,65182797,65182797
1,65397488,65397488
1,65626082,65626082
1,65843189,65843189
1,66075186,66075186
1,66300153,66300153
1,66521363,66521363
1,66744862,66744862
1,66963857,66963857
1,67173312,67173312
1,67394863,67394863
1,67613578,67613578
1,67848219,67848219
1,68075994,68075994
1,68285974,68285974
1,68501920,68501920
1,68716755,68716755
1,68937931,68937931
1,69156253,69156253
1,69383750,69383750
1,69616920,69616920
1,69828445,69828445
1,70049205,70049205
1,70255380,70255380
1,70489290,70489290
1,70699857,70699857
1,70928200,70928200
1,71154055,71154055
1,71373959,71373959
1,71588016,71588016
1,71809158,71809158
1,72022730,72022730
1,72230504,72230504
1,72445965,72445965
1,72651810,72651810
1,72866319,72866319
1,73076958,73076958
1,73286070,73286070
1,73511014,73511014
1,73727036,73727036
1,73941446,73941446
1,74154561,74154561
1,74362124,74362124
1,74578799,74578799
1,74792535,74792535
1,75011041,75011041
1,75221497,75221497
1,75447862,75447862
1,75673346,75673346
1,75899826,75899826
1,76120787,76120787
1,76368557,76368557
1,76583135,76583135
1,76794832,76794832
1,77010942,77010942
1,77221237,77221237
1,77441850,77441850
1,77666013,77666013
1,77878315,77878315
1,78093211,78093211
1,78323564,78323564
1,78551290,78551290
1,78789963,78789963
1,79004979,79004979
1,79218705,79218705
1,79438403,79438403
1,79651198,79651198
1,79861752,79861752
1,80084128,80084128
1,80300725,80300725
1,80526445,80526445
1,80741983,80741983
1,80962286,80962286
1,81176628,81176628
1,81387818,81387818
1,81606140,81606140
1,81818110,81818110
1,82029515,82029515
1,82247717,82247717
1,82454939,82454939
1,82673359,82673359
1,82889954,82889954
1,83099647,83099647
1,83306406,83306406
1,83963137,83963137
1,84175323,84175323
1,84384117,84384117
1,84599661,84599661
1,84813661,84813661
1,85030222,85030222
1,85242352,85242352
1,85456467,85456467
1,85675108,85675108
1,85888939,85888939
1,86105780,86105780
1,86346708,86346708
1,86571389,86571389
1,86796678,86796678
1,87015598,87015598
1,87251562,87251562
1,87485818,87485818
1,87692871,87692871
1,87907774,87907774
1,88127871,88127871
1,88335760,88335760
1,88540911,88540911
1,88750626,88750626
1,88962871,88962871
1,89176698,89176698
1,89406788,89406788
1,89642226,89642226
1,89877053,89877053
1,90106517,90106517
1,90328195,90328195
1,90549556,90549556
1,90778097,90778097
1,90987706,90987706
1,91202337,91202337
1,91418294,91418294
1,91650722,91650722
1,91903954,91903954
1,92125302,92125302
1,92342751,92342751
1,92575567,92575567
1,92807701,92807701
1,93048451,93048451
1,93289559,93289559
1,93516732,93516732
1,93739486,93739486
1,93969066,93969066
1,94187446,94187446
1,94424750,94424750
1,94639432,94639432
1,94860990,94860990
1,95085420,95085420
1,95301287,95301287
1,95516846,95516846
1,95743459,95743459
1,95960517,95960517
1,96169140,96169140
1,96381245,96381245
1,96595885,96595885
1,96819507,96819507
1,97041404,97041404
1,97270669,97270669
1,97485616,97485616
1,97694474,97694474
1,97918146,97918146
1,98129504,98129504
1,98336043,98336043
1,98540394,98540394
1,98755575,98755575
1,98963144,98963144
1,99185690,99185690
1,99402042,99402042
1,99617996,99617996
1,99837440,99837440
1,100063736,100063736
1,100280076,100280076
1,100504443,100504443
1,100728603,100728603
1,100945307,100945307
1,101176439,101176439
1,101395562,101395562
1,101611238,101611238
1,101828605,101828605
1,102043011,102043011
1,102259169,102259169
1,102466512,102466512
1,102680542,102680542
1,102898326,102898326
1,103124570,103124570
1,103349418,103349418
1,104371959,104371959
1,104590362,104590362
1,104807970,104807970
1,105028226,105028226
1,105252410,105252410
1,105485196,105485196
1,105695859,105695859
1,105918386,105918386
1,106131312,106131312
1,106346073,106346073
1,106567781,106567781
1,106783520,106783520
1,107001944,107001944
1,107217825,107217825
1,107427647,107427647
1,107642728,107642728
1,107850559,107850559
1,108055450,108055450
1,108270842,108270842
1,108484752,108484752
1,109144132,109144132
1,109362094,109362094
1,109591708,109591708
1,109823317,109823317
1,110042673,110042673
1,110281299,110281299
1,110507306,110507306
1,110714623,110714623
1,110926003,110926003
1,111137323,111137323
1,111345529,111345529
1,111569439,111569439
1,111793999,111793999
1,112019433,112019433
1,112239656,112239656
1,112445341,112445341
1,112649434,112649434
1,112886059,112886059
1,113106627,113106627
1,113339392,113339392
1,113598183,113598183
1,113826718,113826718
1,114063300,114063300
1,114294787,114294787
1,114514621,114514621
1,114731544,114731544
1,114955315,114955315
1,115179484,115179484
1,115401586,115401586
1,115630417,115630417
1,115840857,115840857
1,116054119,116054119
1,116276933,116276933
1,116490247,116490247
1,116714539,116714539
1,116924845,116924845
1,117135982,117135982
1,117388463,117388463
1,117607226,117607226
1,117829471,117829471
1,118054841,118054841
1,118270917,118270917
1,118487867,118487867
1,118699504,118699504
1,118920540,118920540
1,119149665,119149665
1,119384856,119384856
1,119603712,119603712
1,119832940,119832940
1,120055255,120055255
1,120291655,120291655
1,145520502,145520502
1,146719695,146719695
1,146966922,146966922
1,149883877,149883877
1,150116442,150116442
1,150360468,150360468
1,150608833,150608833
1,150851550,150851550
1,151100580,151100580
1,151341264,151341264
1,151574939,151574939
1,151798461,151798461
1,152018594,152018594
1,152252754,152252754
1,152489634,152489634
1,152712104,152712104
1,152933840,152933840
1,153160284,153160284
1,153376188,153376188
1,153613877,153613877
1,153850852,153850852
1,154106779,154106779
1,154352255,154352255
1,154579557,154579557
1,154800821,154800821
1,155020905,155020905
1,155261389,155261389
1,155501801,155501801
1,155788850,155788850
1,156034178,156034178
1,156266442,156266442
1,156493984,156493984
1,156716048,156716048
1,156931964,156931964
1,157148040,157148040
1,157387342,157387342
1,157610657,157610657
1,157826214,157826214
1,158041515,158041515
1,158280815,158280815
1,158509581,158509581
1,158720338,158720338
1,158948121,158948121
1,159168011,159168011
1,159394952,159394952
1,159630534,159630534
1,159850618,159850618
1,160059714,160059714
1,160273720,160273720
1,160502586,160502586
1,160728501,160728501
1,160971060,160971060
1,161202937,161202937
1,161815104,161815104
1,162023723,162023723
1,162235669,162235669
1,162461096,162461096
1,162679134,162679134
1,162919943,162919943
1,163133192,163133192
1,163346304,163346304
1,163556647,163556647
1,163778520,163778520
1,163997276,163997276
1,164223983,164223983
1,164442842,164442842
1,164659488,164659488
1,164865209,164865209
1,165088950,165088950
1,165295056,165295056
1,165501269,165501269
1,165721351,165721351
1,165953751,165953751
1,166168052,166168052
1,166418112,166418112
1,166642702,166642702
1,166867613,166867613
1,167075512,167075512
1,167288731,167288731
1,167503263,167503263
1,167723158,167723158
1,167949683,167949683
1,168167713,168167713
1,168390883,168390883
1,168613221,168613221
1,168830840,168830840
1,169049521,169049521
1,169273936,169273936
1,169497891,169497891
1,169720294,169720294
1,169934561,169934561
1,170166388,170166388
1,170381206,170381206
1,170612935,170612935
1,170830849,170830849
1,171051378,171051378
1,171268844,171268844
1,171505634,171505634
1,171739784,171739784
1,171951229,171951229
1,172176795,172176795
1,172396389,172396389
1,172613667,172613667
1,172830047,172830047
1,173058453,173058453
1,173281667,173281667
1,173515190,173515190
1,173758209,173758209
1,173991412,173991412
1,174232306,174232306
1,174459095,174459095
1,174709052,174709052
1,174940913,174940913
1,175159003,175159003
1,175375617,175375617
1,175585384,175585384
1,175791461,175791461
1,176013706,176013706
1,176239403,176239403
1,176468492,176468492
1,176678140,176678140
1,176886448,176886448
1,177090421,177090421
1,177300911,177300911
1,177517382,177517382
1,177749564,177749564
1,177965474,177965474
1,178186621,178186621
1,178409506,178409506
1,178627609,178627609
1,178854271,178854271
1,179083452,179083452
1,179317421,179317421
1,179563945,179563945
1,179789870,179789870
1,180011826,180011826
1,180224559,180224559
1,180451255,180451255
1,180673594,180673594
1,180899168,180899168
1,181119334,181119334
1,181346677,181346677
1,181552535,181552535
1,181758729,181758729
1,181991145,181991145
1,182207659,182207659
1,182429613,182429613
1,182644227,182644227
1,182858857,182858857
1,183084463,183084463
1,183301720,183301720
1,183519354,183519354
1,183752477,183752477
1,183959755,183959755
1,184174928,184174928
1,184395436,184395436
1,184607030,184607030
1,184829083,184829083
1,185050877,185050877
1,185277663,185277663
1,185496617,185496617
1,185722358,185722358
1,185943397,185943397
1,186155180,186155180
1,186374363,186374363
1,186594586,186594586
1,186818290,186818290
1,187030258,187030258
1,187245424,187245424
1,187462720,187462720
1,187684703,187684703
1,187909086,187909086
1,188120278,188120278
1,188332176,188332176
1,188541480,188541480
1,188758395,188758395
1,188974205,188974205
1,189191576,189191576
1,189414747,189414747
1,189630054,189630054
1,189845556,189845556
1,190055008,190055008
1,190262672,190262672
1,190470176,190470176
1,190680266,190680266
1,190893026,190893026
1,191112448,191112448
1,191324087,191324087
1,191541516,191541516
1,191751854,191751854
1,191964464,191964464
1,192176697,192176697
1,192387461,192387461
1,192610256,192610256
1,192833875,192833875
1,193049057,193049057
1,193263216,193263216
1,193477153,193477153
1,193696442,193696442
1,193913910,193913910
1,194131819,194131819
1,194348881,194348881
1,194565436,194565436
1,194779717,194779717
1,194991504,194991504
1,195209047,195209047
1,195417598,195417598
1,195634281,195634281
1,195846983,195846983
1,196060962,196060962
1,196283242,196283242
1,196493030,196493030
1,196703605,196703605
1,197005860,197005860
1,197221920,197221920
1,197433195,197433195
1,197649720,197649720
1,197879281,197879281
1,198092168,198092168
1,198309877,198309877
1,198519486,198519486
1,198726640,198726640
1,198935783,198935783
1,199146858,199146858
1,199358299,199358299
1,199577535,199577535
1,199795700,199795700
1,200032596,200032596
1,200255162,200255162
1,200476520,200476520
1,200706961,200706961
1,200933143,200933143
1,201140442,201140442
1,201355287,201355287
1,201572946,201572946
1,201789085,201789085
1,202017317,202017317
1,202250124,202250124
1,202537615,202537615
1,202763780,202763780
1,202995514,202995514
1,203201159,203201159
1,203429251,203429251
1,203651761,203651761
1,203894967,203894967
1,204122737,204122737
1,204334636,204334636
1,204553538,204553538
1,204764561,204764561
1,204971660,204971660
1,205195408,205195408
1,205419493,205419493
1,205638492,205638492
1,206572390,206572390
1,206793241,206793241
1,207006942,207006942
1,207215411,207215411
1,207439140,207439140
1,207651517,207651517
1,207945827,207945827
1,208155120,208155120
1,208359385,208359385
1,208566173,208566173
1,208774671,208774671
1,208991593,208991593
1,209210270,209210270
1,209423901,209423901
1,209639036,209639036
1,209843985,209843985
1,210054617,210054617
1,210280736,210280736
1,210501399,210501399
1,210717152,210717152
1,210930501,210930501
1,211164528,211164528
1,211404326,211404326
1,211640922,211640922
1,211862368,211862368
1,212089189,212089189
1,212311261,212311261
1,212540388,212540388
1,212762993,212762993
1,212987778,212987778
1,213224895,213224895
1,213452063,213452063
1,213665783,213665783
1,213888106,213888106
1,214094916,214094916
1,214302425,214302425
1,214512806,214512806
1,214726985,214726985
1,214951034,214951034
1,215167686,215167686
1,215379610,215379610
1,215595659,215595659
1,215814653,215814653
1,216029815,216029815
1,216243938,216243938
1,216454943,216454943
1,216669476,216669476
1,216873778,216873778
1,217080172,217080172
1,217286025,217286025
1,217496538,217496538
1,217714760,217714760
1,217935642,217935642
1,218144634,218144634
1,218361553,218361553
1,218574112,218574112
1,218794753,218794753
1,219010627,219010627
1,219218372,219218372
1,219430081,219430081
1,219641207,219641207
1,219868601,219868601
1,220105479,220105479
1,220337132,220337132
1,220555422,220555422
1,220771081,220771081
1,220991797,220991797
1,221204482,221204482
1,221420676,221420676
1,221638934,221638934
1,221849037,221849037
1,222054664,222054664
1,222276443,222276443
1,222492335,222492335
1,222755256,222755256
1,222973072,222973072
1,223196221,223196221
1,223419223,223419223
1,223649624,223649624
1,224281501,224281501
1,224527145,224527145
1,224751799,224751799
1,224963257,224963257
1,225192611,225192611
1,225443939,225443939
1,225667596,225667596
1,225888947,225888947
1,226123947,226123947
1,226364399,226364399
1,226593430,226593430
1,226811020,226811020
1,227028501,227028501
1,227252410,227252410
1,227471032,227471032
1,227708824,227708824
1,227942701,227942701
1,228175912,228175912
1,228388139,228388139
1,228596839,228596839
1,228867351,228867351
1,229077645,229077645
1,229290835,229290835
1,229513051,229513051
1,229742815,229742815
1,229958557,229958557
1,230169988,230169988
1,230378113,230378113
1,230591894,230591894
1,230816684,230816684
1,231027051,231027051
1,231245781,231245781
1,231465198,231465198
1,231687344,231687344
1,231912526,231912526
1,232135605,232135605
1,232357101,232357101
1,232571229,232571229
1,232779428,232779428
1,232996553,232996553
1,233210834,233210834
1,233423614,233423614
1,233638334,233638334
1,233852180,233852180
1,234077159,234077159
1,234296599,234296599
1,234511874,234511874
1,234729631,234729631
1,234968882,234968882
1,235185204,235185204
1,235468562,235468562
1,235715178,235715178
1,235938683,235938683
1,236163593,236163593
1,236394444,236394444
1,236627271,236627271
1,236849022,236849022
1,237064362,237064362
1,237296559,237296559
1,237513165,237513165
1,237726701,237726701
1,237941961,237941961
1,238158320,238158320
1,238380790,238380790
1,238597047,238597047
1,238809169,238809169
1,239024321,239024321
1,239237697,239237697
1,239452305,239452305
1,239662677,239662677
1,239886047,239886047
1,240095377,240095377
1,240315087,240315087
1,240531349,240531349
1,240748735,240748735
1,240977896,240977896
1,241197714,241197714
1,241413442,241413442
1,241632599,241632599
1,241842160,241842160
1,242061592,242061592
1,242305206,242305206
1,242592745,242592745
1,242820059,242820059
1,243486077,243486077
1,243694800,243694800
1,243910157,243910157
1,244130249,244130249
1,244339362,244339362
1,244560177,244560177
1,244792632,244792632
1,245024716,245024716
1,245254045,245254045
1,245480836,245480836
1,245700238,245700238
1,245922181,245922181
1,246142198,246142198
1,246356021,246356021
1,246584772,246584772
1,246815536,246815536
1,247052978,247052978
1,247300514,247300514
1,247531391,247531391
1,247758337,247758337
1,247990094,247990094
1,248234141,248234141
2,0,249250621
2,237131,249487752
2,454245,249704866
2,660286,249910907
2,880416,250131037
2,1095646,250346267
2,1324439,250575060
2,1556885,250807506
2,1781522,251032143
2,1991579,251242200
2,2211803,251462424
2,2425099,251675720
2,2635005,251885626
2,2847081,252097702
2,3058704,252309325
2,3276735,252527356
2,3497178,252747799
2,3770285,253020906
2,3996647,253247268
2,4217703,253468324
2,4430144,253680765
2,4639740,253890361
2,4863428,254114049
2,5174412,254425033
2,5385523,254636144
2,5596347,254846968
2,5826472,255077093
2,6039060,255289681
2,6246369,255496990
2,6458239,255708860
2,6669777,255920398
2,6875564,256126185
2,7085430,256336051
2,7294145,256544766
2,7504261,256754882
2,7712999,256963620
2,7921718,257172339
2,8132567,257383188
2,8347812,257598433
2,8554529,257805150
2,8762793,258013414
2,8972142,258222763
2,9197798,258448419
2,9417149,258667770
2,9633893,258884514
2,9862250,259112871
2,10087378,259337999
2,10311368,259561989
2,10525830,259776451
2,10742075,259992696
2,10971867,260222488
2,11189126,260439747
2,11412909,260663530
2,11635772,260886393
2,11849073,261099694
2,12071538,261322159
2,12284146,261534767
2,12491517,261742138
2,12706757,261957378
2,12920276,262170897
2,13132869,262383490
2,13344262,262594883
2,13569926,262820547
2,13794552,263045173
2,14017595,263268216
2,14234540,263485161
2,14450182,263700803
2,14672572,263923193
2,14879638,264130259
2,15102323,264352944
2,15310597,264561218
2,15528078,264778699
2,15744771,264995392
2,15956341,265206962
2,16178347,265428968
2,16447680,265698301
2,16655328,265905949
2,16865830,266116451
2,17083925,266334546
2,17295930,266546551
2,17505088,266755709
2,17726049,266976670
2,17936706,267187327
2,18155653,267406274
2,18384567,267635188
2,18596100,267846721
2,18805900,268056521
2,19022312,268272933
2,19271977,268522598
2,19493930,268744551
2,19710085,268960706
2,19921334,269171955
2,20136132,269386753
2,20353943,269604564
2,20566626,269817247
2,20786270,270036891
2,20996024,270246645
2,21240169,270490790
2,21458384,270709005
2,21669904,270920525
2,21884794,271135415
2,22090055,271340676
2,22301807,271552428
2,22517503,271768124
2,22729981,271980602
2,22940153,272190774
2,23150953,272401574
2,23364085,272614706
2,23580215,272830836
2,23788637,273039258
2,24003776,273254397
2,24241491,273492112
2,24476728,273727349
2,24707236,273957857
2,24926239,274176860
2,25153589,274404210
2,25384657,274635278
2,25607121,274857742
2,25832637,275083258
2,26062306,275312927
2,26308268,275558889
2,26535899,275786520
2,26752961,276003582
2,26965060,276215681
2,27190806,276441427
2,27410306,276660927
2,27644202,276894823
2,27878065,277128686
2,28099720,277350341
2,28314449,277565070
2,28534744,277785365
2,28747431,277998052
2,28964954,278215575
2,29191824,278442445
2,29406476,278657097
2,29615038,278865659
2,29824363,279074984
2,30034926,279285547
2,30245848,279496469
2,30462558,279713179
2,30678032,279928653
2,30895110,280145731
2,31116225,280366846
2,31328472,280579093
2,31540078,280790699
2,31762345,281012966
2,31995045,281245666
2,32228293,281478914
2,32472763,281723384
2,32709786,281960407
2,32938995,282189616
2,33162830,282413451
2,33380574,282631195
2,33605792,282856413
2,33827722,283078343
2,34056545,283307166
2,34279359,283529980
2,34495366,283745987
2,34709769,283960390
2,34950761,284201382
2,35170283,284420904
2,35390376,284640997
2,35607986,284858607
2,35830852,285081473
2,36050567,285301188
2,36266401,285517022
2,36499950,285750571
2,36709241,285959862
2,36923239,286173860
2,37141538,286392159
2,37374829,286625450
2,37592925,286843546
2,37811360,287061981
2,38028953,287279574
2,38254925,287505546
2,38474428,287725049
2,38704454,287955075
2,38932371,288182992
2,39168524,288419145
2,39388510,288639131
2,39610271,288860892
2,39834069,289084690
2,40049280,289299901
2,40276135,289526756
2,40493251,289743872
2,40699352,289949973
2,40910973,290161594
2,41125813,290376434
2,41339966,290590587
2,41552098,290802719
2,41771668,291022289
2,41990999,291241620
2,42199956,291450577
2,42420127,291670748
2,42637302,291887923
2,42881773,292132394
2,43103840,292354461
2,43325707,292576328
2,43549191,292799812
2,43762453,293013074
2,43992801,293243422
2,44209599,293460220
2,44441664,293692285
2,44667124,293917745
2,44888804,294139425
2,45099634,294350255
2,45325227,294575848
2,45533908,294784529
2,45745401,294996022
2,45955647,295206268
2,46165347,295415968
2,46372601,295623222
2,46585706,295836327
2,46798007,296048628
2,47014294,296264915
2,47228235,296478856
2,47449120,296699741
2,47689911,296940532
2,47908484,297159105
2,48141942,297392563
2,48369812,297620433
2,48589860,297840481
2,48818027,298068648
2,49043130,298293751
2,49257602,298508223
2,49480681,298731302
2,49701810,298952431
2,49920412,299171033
2,50136571,299387192
2,50344179,299594800
2,50551388,299802009
2,50759735,300010356
2,50965189,300215810
2,51171107,300421728
2,51377054,300627675
2,51594552,300845173
2,51816027,301066648
2,52034168,301284789
2,52255936,301506557
2,52469423,301720044
2,52685096,301935717
2,52900279,302150900
2,53111488,302362109
2,53328768,302579389
2,53546053,302796674
2,53763682,303014303
2,53985666,303236287
2,54209142,303459763
2,54437832,303688453
2,54648395,303899016
2,54861236,304111857
2,55070386,304321007
2,55278973,304529594
2,55504619,304755240
2,55738535,304989156
2,55976882,305227503
2,56203008,305453629
2,56428374,305678995
2,56638718,305889339
2,56867225,306117846
2,57091062,306341683
2,57310016,306560637
2,57539967,306790588
2,57756554,307007175
2,57979599,307230220
2,58187101,307437722
2,58407975,307658596
2,58631787,307882408
2,58842769,308093390
2,59050190,308300811
2,59256090,308506711
2,59471785,308722406
2,59690171,308940792
2,59903286,309153907
2,60111629,309362250
2,60326701,309577322
2,60552901,309803522
2,60764395,310015016
2,60985122,310235743
2,61210637,310461258
2,61446019,310696640
2,61668468,310919089
2,61910747,311161368
2,62146582,311397203
2,62378672,311629293
2,62603718,311854339
2,62830874,312081495
2,63072772,312323393
2,63283552,312534173
2,63512609,312763230
2,63744461,312995082
2,63976583,313227204
2,64193138,313443759
2,64417294,313667915
2,64633031,313883652
2,64845500,314096121
2,65058846,314309467
2,65282844,314533465
2,65520026,314770647
2,65740977,314991598
2,65960022,315210643
2,66175725,315426346
2,66398684,315649305
2,66630630,315881251
2,66840586,316091207
2,67067534,316318155
2,67277343,316527964
2,67491187,316741808
2,67711038,316961659
2,67928568,317179189
2,68140704,317391325
2,68363834,317614455
2,68580940,317831561
2,68806809,318057430
2,69028675,318279296
2,69241481,318492102
2,69446747,318697368
2,69672992,318923613
2,69894701,319145322
2,70119138,319369759
2,70344704,319595325
2,70592808,319843429
2,70807019,320057640
2,71022871,320273492
2,71251148,320501769
2,71508690,320759311
2,71729368,320979989
2,71937797,321188418
2,72144302,321394923
2,72364950,321615571
2,72578130,321828751
2,72805318,322055939
2,73028451,322279072
2,73237386,322488007
2,73465888,322716509
2,73679274,322929895
2,73937965,323188586
2,74191171,323441792
2,74412155,323662776
2,74631418,323882039
2,74852278,324102899
2,75075477,324326098
2,75292230,324542851
2,75509405,324760026
2,75728237,324978858
2,75940643,325191264
2,76159687,325410308
2,76383962,325634583
2,76604230,325854851
2,76821020,326071641
2,77053224,326303845
2,77267213,326517834
2,77495393,326746014
2,77702726,326953347
2,77938156,327188777
2,78159902,327410523
2,78372308,327622929
2,78589747,327840368
2,78805497,328056118
2,79027103,328277724
2,79235826,328486447
2,79463380,328714001
2,79678804,328929425
2,79890783,329141404
2,80103860,329354481
2,80312487,329563108
2,80530833,329781454
2,80736238,329986859
2,80946969,330197590
2,81164371,330414992
2,81376573,330627194
2,81594968,330845589
2,81805009,331055630
2,82020691,331271312
2,82241544,331492165
2,82452343,331702964
2,82665052,331915673
2,82876507,332127128
2,83087502,332338123
2,83302887,332553508
2,83522110,332772731
2,83739015,332989636
2,83948370,333198991
2,84171998,333422619
2,84390280,333640901
2,84618570,333869191
2,84841562,334092183
2,85057587,334308208
2,85287402,334538023
2,85512396,334763017
2,85751534,335002155
2,85978730,335229351
2,86199059,335449680
2,86418280,335668901
2,86637784,335888405
2,88398377,337648998
2,88613047,337863668
2,88847466,338098087
2,89074867,338325488
2,95658972,344909593
2,95882175,345132796
2,96676186,345926807
2,96948654,346199275
2,97188511,346439132
2,97411854,346662475
2,98319590,347570211
2,98538252,347788873
2,98762632,348013253
2,98976782,348227403
2,99190333,348440954
2,99407021,348657642
2,99638215,348888836
2,99876116,349126737
2,100104655,349355276
2,100326006,349576627
2,100540747,349791368
2,100777849,350028470
2,100991469,350242090
2,101219536,350470157
2,101433651,350684272
2,101647859,350898480
2,101884545,351135166
2,102112953,351363574
2,102340793,351591414
2,102551623,351802244
2,102763242,352013863
2,102975473,352226094
2,103189147,352439768
2,103401871,352652492
2,103617932,352868553
2,103835314,353085935
2,104046196,353296817
2,104262091,353512712
2,104472729,353723350
2,104678794,353929415
2,104887060,354137681
2,105095795,354346416
2,105312132,354562753
2,105520339,354770960
2,105739133,354989754
2,105960507,355211128
2,106177081,355427702
2,106387135,355637756
2,106597714,355848335
